state,Jan_cool,Feb_cool,Mar_cool,Apr_cool,May_cool,Jun_cool,Jul_cool,Aug_cool,Sep_cool,Oct_cool,Nov_cool,Dec_cool,Jan_heat,Feb_heat,Mar_heat,Apr_heat,May_heat,Jun_heat,Jul_heat,Aug_heat,Sep_heat,Oct_heat,Nov_heat,Dec_heat
NSW,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
VIC,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
SA,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
WA,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
QLD,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
NT,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
TAS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
ACT,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
