state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
TAS,0.08548,0.07781,0.07507,0.07137,0.08466,0.10548,0.10671,0.09452,0.07356,0.07205,0.07301,0.08027
NT,0.08548,0.07781,0.07507,0.07137,0.08466,0.10548,0.10671,0.09452,0.07356,0.07205,0.07301,0.08027
ACT,0.08548,0.07781,0.07507,0.07137,0.08466,0.10548,0.10671,0.09452,0.07356,0.07205,0.07301,0.08027
SA,0.08548,0.07781,0.07507,0.07137,0.08466,0.10548,0.10671,0.09452,0.07356,0.07205,0.07301,0.08027
NSW,0.08548,0.07781,0.07507,0.07137,0.08466,0.10548,0.10671,0.09452,0.07356,0.07205,0.07301,0.08027
QLD,0.09274,0.09219,0.08685,0.08137,0.07904,0.08233,0.08192,0.07932,0.07603,0.07671,0.08192,0.08959
WA,0.08548,0.07781,0.07507,0.07137,0.08466,0.10548,0.10671,0.09452,0.07356,0.07205,0.07301,0.08027
VIC,0.08548,0.07781,0.07507,0.07137,0.08466,0.10548,0.10671,0.09452,0.07356,0.07205,0.07301,0.08027
