usage_level,annual_mult,cool_month_mult,heat_month_mult,cool_peak_mult,heat_peak_mult
Low,0.7,1.05,1.08,1.10,1.08
Medium,1.0,1.10,1.15,1.20,1.15
High,1.3,1.20,1.25,1.35,1.25
Very high,1.6,1.35,1.40,1.50,1.40
