hour,cool_peak_flag,heat_peak_flag,daytime_flag,note
0,0,0,0,深夜
1,0,0,0,深夜
2,0,0,0,深夜
3,0,0,0,深夜
4,0,0,0,深夜
5,0,0,0,深夜
6,0,1,0,制热尖峰（早高峰）
7,0,1,1,制热尖峰（早高峰）+ 白天
8,0,1,1,制热尖峰（早高峰）+ 白天
9,0,0,1,白天
10,0,0,1,白天
11,0,0,1,白天
12,0,0,1,白天
13,0,0,1,白天
14,1,0,1,制冷尖峰 + 白天
15,1,0,1,制冷尖峰 + 白天
16,1,0,1,制冷尖峰 + 白天
17,1,0,0,制冷尖峰
18,1,1,0,制冷尖峰 + 制热尖峰（晚高峰）
19,0,1,0,制热尖峰（晚高峰）
20,0,1,0,制热尖峰（晚高峰）
21,0,1,0,制热尖峰（晚高峰）
22,0,0,0,夜间
23,0,0,0,夜间
