state,base_annual_kwh,source
TAS,10148,v1.5参数汇总
NT,10008,v1.5参数汇总
ACT,8632,v1.5参数汇总
SA,7129,v1.5参数汇总
NSW,7778,v1.5参数汇总
QLD,7270,v1.5参数汇总
WA,7634,v1.5参数汇总
VIC,6778,v1.5参数汇总
