state,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,daytime_share_07_17,evening_peak_share_17_21,overnight_share_17_07
TAS,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.04714,0.04714,0.04714,0.04714,0.04714,0.04714,0.04714,0.03941,0.44897,0.23570,0.63753
NT,0.02990,0.02638,0.02405,0.02319,0.02396,0.02745,0.03486,0.04163,0.04270,0.04255,0.04252,0.04348,0.04421,0.04440,0.04486,0.04667,0.05074,0.05727,0.06229,0.05996,0.05621,0.04970,0.04421,0.03679,0.47862,0.28647,0.60696
ACT,0.03400,0.03031,0.02876,0.02867,0.03055,0.03643,0.04493,0.04904,0.04317,0.03792,0.03615,0.03118,0.03053,0.02937,0.03003,0.03369,0.04434,0.05901,0.06693,0.06550,0.06142,0.05416,0.05178,0.04208,0.41035,0.29720,0.67887
SA,0.04850,0.05185,0.03814,0.02956,0.02568,0.02654,0.03142,0.03655,0.03563,0.03624,0.04103,0.04366,0.04188,0.03980,0.03997,0.04111,0.04525,0.05442,0.05990,0.05715,0.05315,0.04739,0.03905,0.03607,0.43254,0.26987,0.64407
NSW,0.04427,0.03912,0.03176,0.02706,0.02583,0.02805,0.03427,0.03939,0.04089,0.04050,0.03986,0.03936,0.03948,0.03908,0.03920,0.04105,0.04569,0.05328,0.05846,0.05634,0.05329,0.04947,0.04804,0.04625,0.43877,0.26706,0.64118
QLD,0.02990,0.02638,0.02405,0.02319,0.02396,0.02745,0.03486,0.04163,0.04270,0.04255,0.04252,0.04348,0.04421,0.04440,0.04486,0.04667,0.05074,0.05727,0.06229,0.05996,0.05621,0.04970,0.04421,0.03679,0.47862,0.28647,0.60696
WA,0.02990,0.02638,0.02405,0.02319,0.02396,0.02745,0.03486,0.04163,0.04270,0.04255,0.04252,0.04348,0.04421,0.04440,0.04486,0.04667,0.05074,0.05727,0.06229,0.05996,0.05621,0.04970,0.04421,0.03679,0.47862,0.28647,0.60696
VIC,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.03941,0.04714,0.04714,0.04714,0.04714,0.04714,0.04714,0.04714,0.03941,0.44897,0.23570,0.63753
