state,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,daytime_share_07_17,evening_peak_share_17_21,overnight_share_17_07,source,networks_included
TAS,0.04063,0.04161,0.03597,0.03184,0.02927,0.01430,0.02940,0.03116,0.03623,0.04123,0.04455,0.02259,0.04536,0.04598,0.04641,0.04623,0.04835,0.04084,0.06204,0.06156,0.05958,0.05581,0.04814,0.04090,0.40809,0.22403,0.59191,MSATS NSLP (AURORA),
NT,0.03553,0.03121,0.02979,0.03022,0.03100,0.01618,0.03797,0.04589,0.05069,0.04864,0.04507,0.04193,0.04116,0.03923,0.03865,0.03964,0.04538,0.05213,0.06597,0.06272,0.05672,0.05038,0.03505,0.02885,0.43627,0.23754,0.56373,Proxy: QLD (NT not in NEM),
ACT,0.03524,0.03000,0.02741,0.02606,0.02578,0.02653,0.01421,0.03290,0.04192,0.04910,0.05293,0.05154,0.05151,0.04769,0.04675,0.04723,0.05213,0.05987,0.05958,0.05601,0.05198,0.04835,0.04486,0.02044,0.47370,0.22744,0.52630,MSATS NSLP (ACTEWAGL),
SA,0.02646,0.02376,0.02571,0.02586,0.02528,0.01328,0.02976,0.03348,0.04133,0.04835,0.05176,0.05001,0.04887,0.04651,0.04472,0.04400,0.04749,0.03175,0.07385,0.07381,0.07058,0.06291,0.04785,0.01262,0.45653,0.24999,0.54347,MSATS NSLP (UMPLP),
NSW,0.03064,0.02581,0.02423,0.02387,0.02436,0.01515,0.03026,0.03884,0.04702,0.04943,0.04696,0.04324,0.04225,0.04097,0.04096,0.04659,0.02914,0.07738,0.07603,0.07241,0.06386,0.05292,0.02597,0.03171,0.42541,0.28967,0.57459,MSATS NSLP (COUNTRYENERGY + ENERGYAUST + INTEGRAL),
QLD,0.03553,0.03121,0.02979,0.03022,0.03100,0.01618,0.03797,0.04589,0.05069,0.04864,0.04507,0.04193,0.04116,0.03923,0.03865,0.03964,0.04538,0.05213,0.06597,0.06272,0.05672,0.05038,0.03505,0.02885,0.43627,0.23754,0.56373,MSATS NSLP (ENERGEX + ERGON1),
WA,0.02646,0.02376,0.02571,0.02586,0.02528,0.01328,0.02976,0.03348,0.04133,0.04835,0.05176,0.05001,0.04887,0.04651,0.04472,0.04400,0.04749,0.03175,0.07385,0.07381,0.07058,0.06291,0.04785,0.01262,0.45653,0.24999,0.54347,Proxy: SA (WA not in NEM),
VIC,0.04359,0.04287,0.03720,0.03316,0.03057,0.02179,0.02877,0.03377,0.04054,0.04376,0.04411,0.03955,0.03913,0.04332,0.04336,0.04456,0.04753,0.04825,0.06249,0.05873,0.05539,0.04934,0.03438,0.03386,0.41962,0.22486,0.58038,MSATS NSLP (CITIPOWER + POWERCOR + TXU + UNITED + VICAGL),
