type,key,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,note
monthly_share,DE,0.0789,0.0791,0.0773,0.0822,0.0839,0.0876,0.0917,0.0887,0.0853,0.0838,0.0819,0.0796,BDEW H0标准曲线
type,key,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,note
hourly_share,DE,0.0301,0.0258,0.0239,0.0232,0.0236,0.0252,0.0300,0.0358,0.0410,0.0446,0.0474,0.0518,0.0513,0.0481,0.0459,0.0454,0.0475,0.0535,0.0587,0.0591,0.0556,0.0508,0.0451,0.0366,BDEW H0标准曲线
base_annual_kwh,DE,3500,,,,,,,,,,,,统一默认值
